Group,Substance,ΔHf∘ (kJ/mol),ΔGf∘ (kJ/mol),S∘ (J/(mol·K))
Aluminum,Al(s),0,0,28.3
Aluminum,Al3+(aq),-531.0,-485.0,-321.7
Aluminum,Al2O3(s),-1675.7,-1582.3,50.9
Aluminum,AlCl3(s),-704.2,-628.8,109.3
Antimony,Sb(s),0,0,45.7
Argon,Ar(g),0,0,154.8
Arsenic,As(s),0,0,35.1
Arsenic,As2O5(s),-924.9,-782.3,105.4
Arsenic,AsCl3(l),-305,-259.4,216.3
Barium,Ba(s),0,0,62.5
Barium,BaCl2(s),-855,-806.7,123.7
Barium,BaCO3(s),-1213,-1134.4,112.1
Barium,BaO(s),-548,-520.3,72.1
Barium,BaSO4(s),-1473.2,-1362.2,132.2
Beryllium,Be(OH)2(s),-902.5,-815.0,45.5
Beryllium,Be(s),0,0,9.5
Beryllium,BeO(s),-609.4,-580.1,13.8
Boron,B(s),0,0,5.9
Boron,BH3(g),89.2,93.3,188.2
Boron,B2O3(s),-1273.5,-1194.3,54.0
Boron,H3BO3(s),-1094.3,-968.9,90.0
Boron,BCl3(g),-403.8,-388.7,290.1
Boron,BCl3(l),-427.2,-387.4,206.3
Bromine,Br(g),111.9,82.4,175.0
Bromine,Br2(g),30.9,3.1,245.5
Bromine,Br2(l),0,0,152.2
Bromine,Br-(aq),-121.6,-104,82.4
Bromine,BrCl(g),14.64,-56.91,240.0
Bromine,BrO-(aq),-94.1,-33.4,42.0
Bromine,BrF3(g),-255.6,-229.4,292.5
Bromine,HBr(g),-36.3,-53.4,198.7
Cadmium,Cd(s),0,0,51.8
Cadmium,CdO(s),-258.4,-228.7,54.8
Cadmium,CdCl2(s),-391.5,-343.9,115.3
Calcium,Ca(s),0,0,41.6
Calcium,Ca(g),177.8,144.0,154.9
Calcium,Ca(OH)2(s),-985.2,-897.5,83.4
Calcium,Ca2+(aq),-542.8,-553.6,-53.1
Calcium,Ca3(PO4)2(s),-4120.8,-3884.7,236.0
Calcium,CaC2(s),-59.8,-64.9,70.0
Calcium,CaCl2(s),-795.4,-748.8,108.4
Calcium,CaCO3(s),-1207.6,-1129.1,91.7
Calcium,CaF2(s),-1228,-1175.6,68.5
Calcium,CaH2(s),-181.5,-142.5,41.4
Calcium,CaO(s),-634.9,-603.3,38.1
Calcium,CaS(s),-482.4,-477.4,56.5
Calcium,CaSO4(s),-1434.5,-1322.0,106.5
Carbon,C(graphite),0,0,5.7
Carbon,C(diamond),1.9,2.9,2.4
Carbon,C(g),716.7,671.3,158.1
Carbon,CCl4(l),-128.2,-192.1,214.4
Carbon,CH4(g),-74.6,-50.5,186.3
Carbon,C2H2(g),227.4,209.9,200.9
Carbon,C2H4(g),52.4,68.4,219.3
Carbon,C2H4O(g),-166.2,-133.0,263.8
Carbon,C2H5Cl(g),-112.1,-60.4,267.0
Carbon,C2H5OH(g),-234.8,-167.9,281.6
Carbon,C2H5OH(l),-277.6,-174.8,160.7
Carbon,C2H6O2(l)(ethyleneglycol),-460.0,-508.6,163.2
Carbon,C2H6(g),-84.0,-32.0,229.2
Carbon,C3H8(g),-103.8,-23.4,270.3
Carbon,C6H6(l),49.1,124.5,173.4
Carbon,CH3OH(g),-201,-162.3,239.9
Carbon,CH3OH(l),-239.2,-166.6,126.8
Carbon,CH4(g),-74.6,-50.5,186.3
Carbon,CH3CHO(g),-166.2,-133.0,263.8
Carbon,CH3CO2H(l),-484.3,-389.9,159.8
Carbon,CH3CH2OH(l),-277.6,-174.8,160.7
Carbon,CH3CN(l),40.6,86.5,149.6
Carbon,CHCl3(g),-102.7,6.0,295.7
Carbon,CHCl3(l),-134.1,-73.7,201.7
Carbon,CF4(g),-933.3,-1011.2,261.4
Carbon,CO(g),-110.5,-137.2,197.7
Carbon,CO2(g),-393.5,-394.4,213.8
Carbon,COCl2(g),-219.1,-204.9,283.5
Carbon,CS2(g),116.7,67.1,237.8
Carbon,CS2(l),89.0,64.6,151.3
Carbon,C2H3Cl(g),37.2,53.6,264.0
Carbon,HCN(g),135.1,124.7,201.8
Carbon, C6H12O6(s),-1274.5,-917.0,212.1
Cesium,Cs(s),0,0,85.2
Cesium,CsCl(s),-443.0,-414.5,101.2
Chlorine,Cl2(g),0,0,223.1
Chlorine,Cl(g),121.3,105.3,165.2
Chlorine,Cl-(aq),-167.2,-131.2,56.5
Chlorine,ClF(g),-50.29,-115.3,217.91
Chlorine,ClO(g),101.8,98.1,226.6
Chlorine,ClO2(g),102.5,120.5,256.8
Chlorine,ClO-(aq),-107.1,-36.8,42.0
Chlorine,ClO2-(aq),-66.5,17.2,101.3
Chlorine,ClO3-(aq),-104.0,-8.0,162.3
Chlorine,ClO4-(aq),-129.3,-8.5,182.0
Chlorine,HCl(g),-92.3,-95.3,186.9
Chromium,Cr(s),0,0,23.8
Chromium,Cr2O3(s),-1139.7,-1058.1,81.2
Chromium,CrCl3(s),-556.5,-486.1,123.0
Cobalt,Co(s),0,0,30
Cobalt,CoO(s),-237.9,-214.2,53
Cobalt,CoCl2(s),-312.5,-269.8,109.2
Copper,Cu(s),0,0,33.2
Copper,Cu2+(aq),64.8,65.5,-99.6
Copper,CuO(s),-157.3,-129.7,42.6
Copper,Cu(OH)2(s),-449.8,-450.7,108.4
Copper,CuS(s),-53.1,-53.6,66.5
Copper,CuCl2(s),-220.1,-175.7,108.1
Copper,CuCl(s),-137.2,-119.9,86.2
Copper,CuBr(s),-104.6,-100.8,96.1
Copper,CuI(s),-67.8,-69.5,96.7
Copper,CuSO4(s),-771.4,-662.2,109.2
Fluorine,F(g),79.4,62.3,158.8
Fluorine,F2(g),0,0,202.8
Fluorine,F-(g),-335.4,-278.79,-13.8
Fluorine,HF(g),-273.3,-275.4,173.8
Gallium,Ga(s),0,0,40.8
Gallium,Ga2O3(s),-1089.1,-998.3,85.0
Germanium,Ge(s),0,0,31.1
Germanium,GeO(s),-261.9,-237.2,50.0
Germanium,GeCl4(g),-495.8,-457.3,347.7
Germanium,GeO2(s),-580,-521.4,39.7
Gold,Au(s),0,0,47.4
Helium,He(g),0,0,126.2
Hydrogen,H+(aq),0,0,0
Hydrogen,H2(g),0,0,130.7
Iodine,I2(g),62.4,19.3,260.7
Iodine,I2(s),0,0,116.1
Iodine,I-(aq),-55.2,-51.6,111.3
Iodine,IBr(g),40.88,-36.33,258.95
Iodine,ICl(g),17.51,-56.30,247.56
Iodine,IF(g),-94.76,-165.20,236.27
Iodine,IO3-(aq),-221.3,-128,118.4
Iodine,HI(g),26.5,1.7,206.6
Iron,Fe(s),0,0,27.3
Iron,Fe2+(aq),-89.1,-78.9,-137.7
Iron,Fe3+(aq),-48.5,-4.7,-315.9
Iron,Fe2O3(s),-824.2,-742.2,87.4
Iron,FeO(s),-272,-251.4,60.8
Iron,Fe3O4(s),-1118.4,-1015.4,146.4
Iron,FeCO3(s),-740.6,-666.7,92.9
Iron,FeCl2(s),-341.8,-302.3,118.0
Iron,FeCl3(s),-399.5,-334,142.3
Iron,FeSO4(s),-928.4,-820.8,107.5
Iron,FeS(s),-100,-100.4,60.3
Krypton,Kr(g),0,0,164.1
Lead,Pb(s),0,0,64.8
Lead,Pb2+(aq),-1.7,-24.4,10.5
Lead,PbBr2(s),-278.7,-261.9,161.5
Lead,PbCl2(s),-359.4,-314.1,136.0
Lead,PbO(s),-217.3,-187.9,68.7
Lead,PbO2(s),-277.4,-217.3,68.6
Lead,PbS(s),-100.4,-98.7,91.2
Lithium,Li(s),0,0,29.1
Lithium,Li+(aq),-278.5,-293,13.4
Lithium,Li2O(s),-597.9,-561.2,37.6
Lithium,LiOH(s),-484.9,-441.5,42.8
Lithium,LiCl(s),-408.6,-384.4,59.3
Magnesium,Mg(s),0,0,32.7
Magnesium,Mg2+(aq),-466.9,-454.8,-138.1
Magnesium,Mg(OH)2(s),-924.5,-833.5,63.2
Magnesium,MgCl2(s),-641.3,-591.8,89.6
Magnesium,MgF2(s),-1124.2,-1071.1,57.2
Magnesium,MgCO3(s),-1095.8,-1012.1,65.7
Magnesium,MgO(s),-601.6,-569.3,27
Magnesium,MgSO4(s),-1284.9,-1170.6,91.6
Manganese,Mn(s),0,0,32.0
Manganese,MnO(s),-385.2,-362.9,59.7
Manganese,MnO2(s),-520,-465.1,53.1
Manganese,MnCl2(s),-481.3,-440.5,118.2
Manganese,MnCO3(s),-894.1,-816.7,85.8
Mercury,Hg(l),0,0,75.9
Mercury,Hg(g),61.4,31.8,175.0
Mercury,HgO(s),-90.8,-58.5,70.3
Mercury,HgS(s),-58.2,-50.6,82.4
Mercury,HgCl2(s),-224.3,-178.6,146.0
Mercury,Hg2Cl2(s),-265.4,-210.7,191.6
Neon,Ne(g),0,0,146.3
Nickel,Ni(s),0,0,29.9
Nickel,NiCl2(s),-305.3,-259.0,97.7
Nitrogen,N2(g),0,0,191.6
Nitrogen,N2H4(l),50.6,149.3,121.2
Nitrogen,N2O(g),81.6,103.7,220.0
Nitrogen,N2O4(g),11.1,99.8,304.4
Nitrogen,N2O5(g),13.3,117.1,355.7
Nitrogen,NH3(g),-45.9,-16.4,192.8
Nitrogen,NH4+(aq),-132.5,-79.3,113.4
Nitrogen,NH4Cl(s),-314.4,-202.9,94.6
Nitrogen,NH4NO3(s),-365.6,-183.9,151.1
Nitrogen,N3-(aq),275.1,348.2,107.9
Nitrogen,NO(g),91.3,87.6,210.8
Nitrogen,NO2(g),33.2,51.3,240.1
Nitrogen,NO2-(aq),-104.6,-32.3,123
Nitrogen,NO3-(aq),-207.4,-111.3,146.4
Nitrogen,NOCl(g),51.7,66.1,261.7
Nitrogen,NF3(g),-132.1,-90.6,260.8
Nitrogen,HNO3(l),-174.1,-80.7,155.6
Nitrogen,HNO3(g),-133.9,-73.5,266.9
Oxygen,O2(g),0,0,205.2
Oxygen,O(g),249.2,231.7,161.1
Oxygen,O3(g),142.7,163.2,238.9
Oxygen,OH-(aq),-230.0,-157.2,-10.8
Oxygen,H2O(l),-285.8,-237.1,70.0
Oxygen,H2O(g),-241.8,-228.6,188.8
Oxygen,H3O+(aq),-285.8,-237.1,70.0
Oxygen,H2O2(l),-187.8,-120.4,109.6
Phosphorus,"P(s, white)",0,0,41.1
Phosphorus,"P(s, red)",-17.6,-12.1,22.8
Phosphorus,P4(g),58.9,24.4,280.0
Phosphorus,PH3(g),5.4,13.4,210.2
Phosphorus,PBr3(g),-146.02,-249.8,348.2
Phosphorus,P4O10(s),-3010.0,-2697.7,228.8
Phosphorus,PCl3(g),-287.0,-267.8,311.8
Phosphorus,PCl5(g),-374.9,-305.0,364.6
Phosphorus,PO4^3-(aq),-1277.4,-1018.7,-220.5
Phosphorus,H3PO4(l),-1271.7,-1123.6,150.8
Phosphorus,HPO4^2-(aq),-1292.1,-1089.2,-33.5
Phosphorus,H3PO4(aq),-1288.3,-1142.5,158.2
Potassium,K(s),0,0,64.7
Potassium,K+(aq),-252.1,-283.3,102.5
Potassium,KO2(s),-284.9,-239.4,116.7
Potassium,KOH(s),-424.6,-379.4,78.9
Potassium,KBr(s),-393.8,-380.7,95.9
Potassium,KCl(s),-436.5,-408.5,82.6
Potassium,KClO3(s),-397.7,-296.3,143.1
Potassium,KF(s),-567.3,-537.8,66.6
Selenium,KI(s),-327.9,-324.9,106.3
Selenium,Se(s),0,0,42.4
Selenium,H2Se(g),29.7,15.9,219.0
Silicon,Si(s),0,0,18.8
Silicon,SiH4(g),34.3,56.9,204.6
Silicon,SiO2(s),-910.7,-856.3,41.5
Silicon,SiCl4(l),-687.0,-619.8,239.7
Silicon,SiC(s),-65.3,-62.8,16.6
Silver,Ag(s),0,0,42.6
Silver,Ag+(aq),105.6,77.1,72.7
Silver,Ag2O(s),-31.1,-11.2,121.3
Silver,Ag2S(s),-32.6,-40.7,144.0
Silver,AgBr(s),-100.4,-96.9,107.1
Silver,AgCl(s),-127,-109.8,96.3
Silver,AgI(s),-61.8,-66.2,115.5
Silver,AgNO3(s),-124.4,-33.4,140.9
Sodium,Na(s),0,0,51.3
Sodium,Na+(aq),-240.1,-261.9,59.0
Sodium,Na2CO3(s),-1130.7,-1044.4,135
Sodium,NaCl(s),-411.2,-384.1,72.1
Sodium,NaF(s),-576.6,-546.3,51.1
Sodium,NaBr(s),-361.1,-349.0,86.8
Sodium,NaI(s),-287.8,-286.1,98.5
Sodium,NaNO3(s),-467.9,-367,116.5
Sodium,NaOH(s),-425.8,-379.7,64.4
Sodium,Na2O(s),-414.2,-375.5,75.1
Sodium,Na2SO4(s),-1384.49,-1266.8,113.6
Strontium,Sr(s),0,0,55.0
Strontium,SrO(s),-592.0,-561.9,54.4
Strontium,SrCl2(s),-828.9,-781.1,114.9
Sulfur,S8(s),0,0,32.1
Sulfur,S8(g),277.2,236.7,167.8
Sulfur,SF4(g),-763.2,-852.5,299.6
Sulfur,SO2(g),-296.8,-300.1,248.2
Sulfur,SO3(g),-395.7,-371.1,256.8
Sulfur,SO4^2-(aq),-909.3,-744.5,20.1
Sulfur,SO2Cl2(g),-354.8,-447.6,311.1
Sulfur,SF6(g),-1220.5,-1116.5,291.5
Sulfur,S2Cl2(l),-59.4,,
Sulfur,H2S(g),-20.6,-33.4,205.8
Sulfur,HSO4-(aq),-887.3,-755.9,131.8
Sulfur,H2SO4(l),-814.0,-690,156.9
Tellurium,Te(s),0,0,49.7
Tellurium,TeO2(s),-322.6,-270.3,79.5
Tin,"Sn(s, white)",0,0,51.2
Tin,"Sn(s, gray)",-2.1,0.1,44.1
Tin,SnO(s),-280.7,-251.9,57.2
Tin,SnO2(s),-577.6,-515.8,49.0
Tin,SnCl4(l),-511.3,-440.1,258.6
Titanium,Ti(s),0,0,30.7
Titanium,TiCl4(l),-804.2,-737.2,252.3
Titanium,TiCl4(g),-763.2,-726.3,353.2
Titanium,TiO2(s),-944.0,-888.8,50.6
Thallium,Tl(s),0,0,64.2
Uranium,U(s),0,0,50.2
Uranium,UO2(s),-1085.0,-1031.8,77.0
Uranium,UF6(g),-2147.4,-2063.7,377.9
Xenon,Xe(g),0,0,169.7
Zinc,Zn(s),0,0,41.6
Zinc,Zn2+(aq),-153.9,-147.1,-112.1
Zinc,ZnO(s),-350.5,-320.5,43.7
Zinc,ZnCl2(s),-415.1,-369.4,111.5
Zinc,ZnS(s),-206,-201.3,57.7
